Stop Name,Line,Borough,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entry Allowed,Exit Allowed,Entrance Latitude,Entrance Longitude
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7594551,-73.9810633
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7590201,-73.9808688
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7599252,-73.9807323
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7593732,-73.980623
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7601466,-73.9804899
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7600375,-73.9801239
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7578742,-73.9820852
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7583667,-73.9818694
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7588352,-73.9807921
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7585566,-73.9817222
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7596484,-73.9809099
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.760109,-73.980582
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7593998,-73.9803382
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7592389,-73.981182
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7537136,-73.985193
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7533955,-73.9848446
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7535053,-73.9847341
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7549381,-73.9846882
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7550511,-73.9841897
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7552322,-73.9840526
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7545962,-73.9838771
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7550226,-73.9837875
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7531465,-73.9855491
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7531005,-73.9856594
42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,YES,YES,40.7551429,-73.9841152
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.74875,-73.9887643
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.7489087,-73.9886438
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.7498382,-73.9881986
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.749625,-73.9881642
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.7500954,-73.9881516
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.75089,-73.9881058
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.7507006,-73.9880439
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.750665,-73.9873465
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.7502992,-73.9870932
34 St-Herald Sq,6th Av - Culver,M,607,34 St-Herald Sq,227,D17,B D F M N Q R W,YES,YES,40.7504148,-73.9869775
34 St-Herald Square,6th Av - Culver,M,607,34 St-Herald Square,227,D17,B D F M N Q R W,YES,YES,40.748851,-73.988718
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7429882,-73.9932331
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7431327,-73.9931221
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7429076,-73.9930407
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7430566,-73.9929343
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7427557,-73.9926758
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7429067,-73.9925842
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7426666,-73.9924656
23 St,6th Av - Culver,M,228,23 St,228,D18,F M,YES,YES,40.7428161,-73.9923624
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7374199,-73.9971973
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7375639,-73.9970916
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7373646,-73.9970658
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7375147,-73.9969619
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7373522,-73.9965383
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7372847,-73.9964203
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7387078,-73.9961093
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.738836,-73.9960133
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7385661,-73.9957692
14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,YES,YES,40.7386847,-73.9956583
Broadway-Lafayette St/Bleecker St,6th Av - Culver,M,619,Broadway-Lafayette St,230,D21,6 B D F M,YES,YES,40.7252073,-73.9965618
Broadway-Lafayette St/Bleecker St,6th Av - Culver,M,619,Broadway-Lafayette St,230,D21,6 B D F M,YES,YES,40.7255227,-73.9963556
Broadway-Lafayette St/Bleecker St,6th Av - Culver,M,619,Broadway-Lafayette St,230,D21,6 B D F M,YES,YES,40.7250257,-73.9957848
Broadway-Lafayette St/Bleecker St,6th Av - Culver,M,619,Broadway-Lafayette St,230,D21,6 B D F M,YES,YES,40.7253547,-73.9956173
Broadway-Lafayette St/Bleecker St,6th Av - Culver,M,619,Broadway-Lafayette St,230,D21,6 B D F M,YES,YES,40.7249867,-73.9956115
Broadway-Lafayette St/Bleecker St,6th Av - Culver,M,619,Broadway-Lafayette St,230,D21,6 B D F M,YES,YES,40.7253157,-73.9954983
Grand St,6th Av - Culver,M,231,Grand St,231,D22,B D,YES,YES,40.7183694,-73.9938821
Grand St,6th Av - Culver,M,231,Grand St,231,D22,B D,YES,YES,40.7181896,-73.9935609
Grand St,6th Av - Culver,M,231,Grand St,231,D22,B D,YES,YES,40.718155,-73.993452
2 Av,6th Av - Culver,M,232,2 Av,232,F14,F,YES,YES,40.723682,-73.9916677
2 Av,6th Av - Culver,M,232,2 Av,232,F14,F,YES,YES,40.7239689,-73.9912799
