Id,Label,stop name,line,borough,complex id,constituent station name,station id,gtfs stop id,daytime routes,entrance latitude,entrance longitude,Degree,Weighted Degree,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
28,Bergen St,Bergen St,6th Av - Culver,B,236,Bergen St,236,F20,F G,40.685586,-73.991461,4,4,15,40,0.062122,0.09402,3760.81297,0.09228,0.099254,14,5,0.333333,1,0.255137
29,Carroll St,Carroll St,6th Av - Culver,B,237,Carroll St,237,F21,F G,40.67927,-73.995777,4,4,15,41,0.060437,0.090607,3587.319803,0.196818,0.182175,14,5,0,0,0.376068
30,Smith-9 Sts,Smith-9 Sts,6th Av - Culver,B,238,Smith-9 Sts,238,F22,F G,40.674615,-73.997288,4,4,15,41,0.060729,0.09298,3618.764248,0.326188,0.352813,14,5,0,0,0.58626
499,42 St-Bryant Pk/5 Av,42 St-Bryant Pk/5 Av,6th Av - Culver,M,609,42 St-Bryant Pk,226,D16,7 B D F M,40.753714,-73.985193,4,4,15,33,0.073836,0.119936,6835.007576,0.000017,0.000017,9,5,0,0,0.169366
32,7 Av,7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,40.666789,-73.981836,4,4,16,41,0.059724,0.090515,5022.757811,0.328426,0.355383,14,5,0,0,0.582521
33,15 St-Prospect Park,15 St-Prospect Park,6th Av - Culver,B,241,15 St-Prospect Park,241,F25,F G,40.659453,-73.979959,4,4,17,42,0.05662,0.082914,4664.202255,0.202722,0.187315,14,5,0,0,0.367425
34,Fort Hamilton Pkwy,Fort Hamilton Pkwy,6th Av - Culver,B,242,Fort Hamilton Pkwy,242,F26,F G,40.651851,-73.976085,4,4,18,43,0.053838,0.077204,4307.343669,0.101851,0.110244,14,5,0,0,0.242997
35,Church Av,Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,40.644923,-73.980018,3,3,19,44,0.051329,0.072656,3952.381724,0.050517,0.046666,14,5,0,0,0.139391
36,Ditmas Av,Ditmas Av,6th Av - Culver,B,244,Ditmas Av,244,F29,F,40.637134,-73.978499,2,2,20,45,0.049057,0.068916,3599.397228,0.01069,0.011573,3,5,0,0,0.052126
37,18 Av,18 Av,6th Av - Culver,B,245,18 Av,245,F30,F,40.630531,-73.977251,2,2,21,46,0.046988,0.065776,3248.412732,0.002652,0.002449,3,5,0,0,0.030949
38,Avenue I,Avenue I,6th Av - Culver,B,246,Avenue I,246,F31,F,40.626177,-73.976411,2,2,22,47,0.045097,0.063106,2899.428236,0.000561,0.000607,3,5,0,0,0.026335
39,Bay Pkwy,Bay Pkwy,6th Av - Culver,B,247,Bay Pkwy,247,F32,F,40.620797,-73.975479,2,2,23,48,0.043362,0.060817,2552.44374,0.000139,0.000129,3,5,0,0,0.025474
40,Avenue N,Avenue N,6th Av - Culver,B,248,Avenue N,248,F33,F,40.616156,-73.974513,2,2,24,49,0.041765,0.05885,2207.459244,0.000029,0.000032,3,5,0,0,0.025338
41,Avenue P,Avenue P,6th Av - Culver,B,249,Avenue P,249,F34,F,40.608615,-73.973097,2,2,25,50,0.040289,0.057165,1864.505755,0.000007,0.000007,3,5,0,0,0.025322
42,Kings Hwy,Kings Hwy,6th Av - Culver,B,250,Kings Hwy,250,F35,F,40.602197,-73.97264,2,2,26,51,0.038953,0.055799,1527.552267,0.000002,0.000002,3,5,0,0,0.02533
43,Avenue U,Avenue U,6th Av - Culver,B,251,Avenue U,251,F36,F,40.595056,-73.973634,2,2,27,52,0.03771,0.054689,1196.567771,0,0,3,5,0,0,0.025402
44,Avenue X,Avenue X,6th Av - Culver,B,252,Avenue X,252,F38,F,40.590532,-73.97427,2,2,28,53,0.036551,0.053852,867.575523,0,0,3,5,0,0,0.025787
45,Neptune Av,Neptune Av,6th Av - Culver,B,253,Neptune Av,253,F39,F,40.580919,-73.974677,2,2,29,54,0.035461,0.053338,539.575523,0,0,8,5,0,0,0.027391
